x,y,title,tokens,word,poem_title,author,period,link
-0.19446671,0.10052388,"upon vacuity, to foot of the steep **bank**, that rises still, the space had meas","upon va ##cuit ##y , to foot of the steep **bank** , that rises still , the space had me ##as",bank,The Divine Comedy by Dante: The Vision Of Purgatory: Canto X,Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-purgatory-canto-x-14194
-0.19393589,-0.007109955,"'d, when i discover'd that the **bank** around, whose proud uprising all ascent denied, was","' d , when i discover ' d that the **bank** around , whose proud uprising all ascent denied , was",bank,The Divine Comedy by Dante: The Vision Of Purgatory: Canto X,Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-purgatory-canto-x-14194
-0.1601086,-0.471881,"a spirit freed, or to the body bound; **bank**'d with the great, or all unknown to","a spirit freed , or to the body bound ; **bank** ' d with the great , or all unknown to",bank,Sonnet CXIII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-cxiii-28538
-0.19672167,0.057481736,"the steep, where on the enamell'd **bank** i sit below with thoughts of love that bid my","the steep , where on the enamel ##l ' d **bank** i sit below with thoughts of love that bid my",bank,To Laura In Death. Sonnet XI,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-xi-28672
-0.1841075,-0.04887956,"on the yielding spray; sighs from its flowery **bank** the lucid rill, while the birds answer","on the yielding spray ; sighs from its flower ##y **bank** the luc ##id ri ##ll , while the birds answer",bank,To Laura In Death. Sonnet XI,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-xi-28672
-0.1966092,0.04289729,"llaston. upon the utmost verge of a high **bank**, by craggy rocks environ '","##llas ##ton . upon the utmost verge of a high **bank** , by cr ##ag ##gy rocks en ##vir ##on '",bank,"The Divine Comedy by Dante: The Vision of Hell, Or The Inferno: Canto XI",Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-hell-or-the-inferno-canto-xi-14128
-0.19808377,0.11565164,"search its limits round, forthwith i left the **bank**, along the champain leisurely my way pursuing","search its limits round , forth ##with i left the **bank** , along the champ ##ain leisure ##ly my way pursuing",bank,The Divine Comedy by Dante: The Vision Of Purgatory: Canto XXVIII,Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-purgatory-canto-xxviii-14212
-0.19325933,0.05694868,"that i carry thee down, where least the slope **bank** falls, he of himself shall tell thee and his","that i carry thee down , where least the slope **bank** falls , he of himself shall tell thee and his",bank,"The Divine Comedy by Dante: The Vision of Hell, Or The Inferno: Canto XIX",Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-hell-or-the-inferno-canto-xix-14136
-0.1883656,0.17685968,"'d near on the highest ridge of the steep **bank**, where the plain level open'd i ex","' d near on the highest ridge of the steep **bank** , where the plain level open ' d i ex",bank,The Divine Comedy by Dante: The Vision Of Purgatory: Canto IV,Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-purgatory-canto-iv-14188
-0.19242047,0.11053702,"e nessus yet had reach'd the other **bank**, we enter'd on a forest, where","##e ness ##us yet had reach ' d the other **bank** , we enter ' d on a forest , where",bank,"The Divine Comedy by Dante: The Vision of Hell, Or The Inferno: Canto XIII",Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-hell-or-the-inferno-canto-xiii-14130
-0.17006357,-0.33334917,"threw, such sounds yet forth it sent, the **bank**es to weepe that drue, as down","threw , such sounds yet forth it sent , the **bank** ##es to weep ##e that dr ##ue , as down",bank,To Himselfe And The Harpe,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/to-himselfe-and-the-harpe-14544
-0.18372253,0.11527951,", to see me as you see? on sandy **bank** of late, i saw this woman sit; where",", to see me as you see ? on sandy **bank** of late , i saw this woman sit ; where",bank,Translation,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/translation-31823
-0.16749774,-0.42145115,"to flow, like to a solemn sober stream, **bank**'d all with lilies, and the cream","to flow , like to a solemn sober stream , **bank** ' d all with lil ##ies , and the cream",bank,The Wassail,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/wassail-2307
