x,y,title,tokens,word,poem_title,author,period,link
-0.02197957,-0.021145577,", can never lose the smallest part of such a **heart** as mine. obliged a thousand several ways, it",", can never lose the smallest part of such a heart as mine . obliged a thousand several ways , it",heart,Songs Set To Music: 11. Set By Mr. De Fesch,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/songs-set-to-music-11-set-by-mr-de-fesch-2975
-0.023104878,-0.017792365,"as mine importune thee: root pity in thy **heart**, that, when it grows, thy pity may","as mine import ##une thee : root pity in thy heart , that , when it grows , thy pity may",heart,"The Sonnets CXLII - Love is my sin, and thy dear virtue hate",William Shakespeare,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-shakespeare/sonnets-cxlii-love-is-my-sin-and-thy-dear-virtue-hate-8294
-0.022572609,-0.014111057,see the cheerful peeping day. sick is my **heart**; o saviour! do thou please to,see the cheerful pee ##ping day . sick is my heart ; o sa ##vio ##ur ! do thou please to,heart,To His Sweet Saviour,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/to-his-sweet-saviour-2336
-0.021305826,0.0210184,"passing by that cleere fountain of thine **eye**, her sun-shine face there chaunsing","passing by that cl ##eer ##e fountain of thin ##e eye , her sun - shine face there cha ##un ##sing",eye,Amour 9,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/amour-9-14446
-0.018578177,0.027241973,"the lyric prophet, who have set on many a **head** the delphic coronet, come unto thee","the lyric prophet , who have set on many a head the del ##phic co ##rone ##t , come unto thee",head,"To The Most Learned, Wise, And Arch-Antiquary, M. John Selden",Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/to-the-most-learned-wise-and-arch-antiquary-m-john-selden-18824
-0.021094715,0.021616599,"bedimme my face, breake in mine **eye**; let me no steps but of lost labour trace","bed ##im ##me my face , break ##e in mine eye ; let me no steps but of lost labour trace",eye,Astrophel and Stella - Sonnet LXIV,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-lxiv-31895
-0.021604862,-0.018243223,"lights increse with time and place, my **heart** cries, oh! it burnes, mine eyes","lights inc ##res ##e with time and place , my heart cries , oh ! it burn ##es , mine eyes",heart,Astrophel and Stella - Sonnet LXXVI,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-lxxvi-31907
-0.019292489,0.029842613,"has strung 14 that not a mountain rears its **head** unsung, 15 renown'd in","has strung 14 that not a mountain rear ##s its head un ##sun ##g , 15 reno ##wn ' d in",head,A Letter From Italy,Joseph Addison,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/joseph-addison/letter-from-italy-385
-0.019885607,0.015492165,"h dwell, rich in all beauties which mans **eye** can see; beauties so farre from reach","##h dwell , rich in all beau ##ties which mans eye can see ; beau ##ties so far ##re from reach",eye,Astrophel and Stella - Sonnet XXXVII,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-xxxvii-31868
-0.021937944,-0.014451673,"e, rich in the riches of a royall **heart**, rich in those gifts which giue th '","##e , rich in the riches of a royal ##l heart , rich in those gifts which gi ##ue th '",heart,Astrophel and Stella - Sonnet XXXVII,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-xxxvii-31868
-0.019892082,0.024448467,"in your brow: and the dimness of your **eye** will no other thing imply, but you must die","in your brow : and the dim ##ness of your eye will no other thing imply , but you must die",eye,The Changes: To Corinne,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/changes-to-corinne-2288
-0.019940216,0.021460513,"lest a handsome anger fly like a lightning from her **eye**, and burn thee up, as well as i","lest a handsome anger fly like a lightning from her eye , and burn thee up , as well as i",eye,To The Rose: A Song,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/to-the-rose-a-song-2370
-0.018756902,0.027412988,"an oak doth climb, and nodding with his **head**, so keepeth time. from britannia's","an oak dot ##h climb , and nodding with his head , so keep ##eth time . from britannia ' s",head,A Concert of Birds,William Browne,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-browne/concert-of-birds-36465
-0.019905422,0.024254194,"with despair: if she behold me with a pleasing **eye**, i surfeit with excess of joy, and","with despair : if she behold me with a pleasing eye , i surf ##eit with excess of joy , and",eye,Song - Murdering Beauty,Thomas Carew,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/thomas-carew/song-murdering-beauty-12101
-0.01874706,0.025755297,"th 'lie that sharply trickles from her either **eye**. the laundresses, they envy her good","th ' lie that sharply trickle ##s from her either eye . the lau ##nd ##resses , they envy her good",eye,Upon A Cheap Laundress. Epig,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/upon-a-cheap-laundress-epig-19396
-0.022131925,-0.017091243,"love. faire eyes, sweet lips, dear **heart**, that foolish i could hope, by cupids","love . fair ##e eyes , sweet lips , dear heart , that foolish i could hope , by cup ##ids",heart,Astrophel and Stella - Sonnet XLIII,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-xliii-31874
-0.02307578,-0.01842501,", remoue from all the world, her **heart** is then his rome, where well he knowes",", re ##mo ##ue from all the world , her heart is then his rome , where well he know ##es",heart,Astrophel and Stella - Sonnet XLIII,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-xliii-31874
-0.017553762,0.018164475,"juno's thigh, or pelops '**arm** of ivory. true, i confess, such whites","juno ' s thigh , or pe ##lo ##ps ' arm of ivory . true , i confess , such whites",arm,To Electra,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/to-electra-18667
-0.019416576,0.023533735,"dry, were they not basted by her either **eye**. stripes, justly given, yerk us","dry , were they not bas ##ted by her either eye . stripes , just ##ly given , yer ##k us",eye,Smart,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/smart-19267
-0.023100555,-0.011624657,"all parts full of pain: when i thy gentle **heart** do see pierced through and dropping blood for me,","all parts full of pain : when i thy gentle heart do see pierced through and dropping blood for me ,",heart,His Anthem To Christ On The Cross,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/his-anthem-to-christ-on-the-cross-19742
-0.020548848,0.01957597,"till my julia close her life-begetting **eye**, and let the whole world then dispose itself to","till my julia close her life - beg ##etti ##ng eye , and let the whole world then dispose itself to",eye,"To Daisies, Not To Shut So Soon",Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/to-daisies-not-to-shut-so-soon-2354
-0.019106947,0.028943408,"shew her skin, lips, teeth, and **head** so well? foole! answers he; no","she ##w her skin , lips , teeth , and head so well ? fool ##e ! answers he ; no",head,Astrophel and Stella - Sonnet XXXII,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-xxxii-31863
-0.02255955,-0.017122326,"no indes such treasures hold; but from thy **heart**, while my sire charmeth thee, sweet stella","no ind ##es such treasures hold ; but from thy heart , while my sire charm ##eth thee , sweet stella",heart,Astrophel and Stella - Sonnet XXXII,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-xxxii-31863
-0.021297203,-0.01397326,"do but flatter men: friendship true, in **heart** assured, is by nature's gifts procured","do but flat ##ter men : friendship true , in heart assured , is by nature ' s gifts pro ##cured",heart,Dispraise Of A Courtly Life,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/dispraise-of-a-courtly-life-31808
-0.022786722,-0.013028229,"the unwholesome air: joy spreads the **heart**, and, with a general song, spring issues","the un ##w ##holes ##ome air : joy spreads the heart , and , with a general song , spring issues",heart,"The Flower And The Leaf: Or, The Lady In The Arbour.[1]",John Dryden,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/john-dryden/flower-and-the-leaf-or-the-lady-in-the-arbour-14724
-0.021312626,-0.016714297,"d, mamma gave way: kitty, at **heart**'s desire, obtain'd the chariot for","d , ma ##mma gave way : kitty , at heart ' s desire , obtain ' d the chariot for",heart,The Female Phaeton,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/female-phaeton-3014
-0.022986056,-0.021416025,"is, the satyr's lips, my **heart**, he for a while, i evermore,","is , the sat ##yr ' s lips , my heart , he for a while , i ever ##more ,",heart,A Sonnet By Sir Edward Dyer,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/a-sonnet-by-sir-edward-dyer-31814
-0.018328533,0.027975788,heav 'n around this destin'd **head** the choicest of it's curses shed:,he ##av ' n around this des ##tin ' d head the choices ##t of it ' s curses shed :,head,To A Young Gentleman In Love. A Tale,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/to-a-young-gentleman-in-love-a-tale-3002
-0.022688724,-0.020837128,"image of my dear; i'd pierce my **heart** thro 'ev 'ry vein, and die","image of my dear ; i ' d pierce my heart th ##ro ' ev ' ry vein , and die",heart,To A Young Gentleman In Love. A Tale,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/to-a-young-gentleman-in-love-a-tale-3002
-0.018892,0.029814279,"briefly of my julia? black and rolling is her **eye**, double-chinn'd and forehead high","briefly of my julia ? black and rolling is her eye , double - chin ##n ' d and forehead high",eye,Upon His Julia,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/upon-his-julia-18808
-0.018967051,0.024763774,ground her garland and her **eyes** she cast. that **eye** dropp'd sense distinct and clear as any,ground her garland and her eyes she cast . that eye drop ##p ' d sense distinct and clear as any,eye,The Garland,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/garland-2958
-0.018783197,0.022030683,"zooks, i had just a place in my **eye**. derry down, down, hey derry down.","##zoo ##ks , i had just a place in my eye . derry down , down , hey derry down .",eye,Down-Hall. A Ballad,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/down-hall-a-ballad-2991
-0.022517841,-0.016532864,"love, so may the heavens read wonders in my **heart**; behold the clouds which have eclipsed my sun","love , so may the heavens read wonders in my heart ; behold the clouds which have eclipse ##d my sun",heart,Sonnets: Idea LX,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/sonnets-idea-lx-14433
-0.019971825,0.02551528,most suspected be. the common forms have no one **eye** or ear of burning jealousy to follow them: but,most suspected be . the common forms have no one eye or ear of burning jealousy to follow them : but,eye,The Suspicion Upon His Over-Much Familiarity With A Gentlewoman,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/suspicion-upon-his-over-much-familiarity-with-a-gentlewoman-18685
-0.021471418,-0.013665695,"been once possest, as victor, of a **heart** atchiev'd with labour, and unrest","been once posse ##st , as victor , of a heart at ##chi ##ev ' d with labour , and unrest",heart,A Deposition From Love,Thomas Carew,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/thomas-carew/deposition-from-love-12077
-0.017707933,0.031676523,"with the horror of the sight, she turns her **head**, and wings her flight; and trembling vows,","with the horror of the sight , she turns her head , and wings her flight ; and trembling vows ,",head,The Lady's Looking-Glass,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/ladys-looking-glass-2995
-0.020535463,0.022829672,"; when the big lip, and wat 'ry **eye** tell me, the rising storm is nigh:","; when the big lip , and wat ' ry eye tell me , the rising storm is ni ##gh :",eye,The Lady's Looking-Glass,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/ladys-looking-glass-2995
-0.022275036,-0.0144484015,"his suit forbears, the prisoner's **heart** is eas'd; the debtor drinks","his suit for ##be ##ars , the prisoner ' s heart is ea ##s ' d ; the debt ##or drinks",heart,A Christmas Carol,George Wither,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/george-wither/christmas-carol-36455
-0.021168359,0.021713315,to send thy doubting reason's dazzled **eye** through the mysterious gulf of vast immensity;,to send thy doubt ##ing reason ' s da ##zzled eye through the mysterious gulf of vast im ##men ##sity ;,eye,An Ode : On Exodus III. 14,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/an-ode-on-exodus-iii-14-2859
-0.018828016,0.027718933,"opening ranks o 'er earth's submissive **head**, marching through different paths to different lands? why","opening ranks o ' er earth ' s sub ##missive head , marching through different paths to different lands ? why",head,An Ode : On Exodus III. 14,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/an-ode-on-exodus-iii-14-2859
-0.022624891,-0.016340775,bids ye all be free; and drink to your **heart**'s desiring. with the last year ',bids ye all be free ; and drink to your heart ' s des ##iring . with the last year ',heart,Ceremonies For Christmas,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/ceremonies-for-christmas-2187
