x,y,title,tokens,word,poem_title,author,period,link
-0.061408877,0.16166137,"moves thee, if the senses stir not? light **kind**led in heav 'n, spontaneous, self","moves thee , if the senses stir not ? light **kind** ##led in he ##av ' n , spontaneous , self",kind,The Divine Comedy by Dante: The Vision Of Purgatory: Canto XVII,Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-purgatory-canto-xvii-14201
-0.07055433,0.038362943,"meed, that in the hour of death her **kind**red spirit may hail, and bless my parting breath","me ##ed , that in the hour of death her **kind** ##red spirit may hail , and bless my parting breath",kind,To Laura In Death. Sonnet LX,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-lx-28726
-0.06968703,0.10058247,"her look so winning, meek, that woke and **kind**les still my bosom's pain--","her look so winning , meek , that woke and **kind** ##les still my bo ##som ' s pain - -",kind,To Laura In Death. Sonnet XXIX,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-xxix-28690
-0.067580216,-0.04623448,"d: and virgil such salute, as fitted that **kind** greeting, gave, and cried: ""peace in","d : and virgil such salute , as fitted that **kind** greeting , gave , and cried : "" peace in",kind,The Divine Comedy by Dante: The Vision Of Purgatory: Canto XXI,Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-purgatory-canto-xxi-14205
-0.06702179,-0.05452788,"state, she ranks amid the purest of her **kind**; and ever and anon she looks behind,","state , she ranks amid the pure ##st of her **kind** ; and ever and an ##on she looks behind ,",kind,To Laura In Death. Sonnet LXXV,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-lxxv-28741
-0.07095238,0.048321415,"heaven, and all its choir of angel hosts those **kind**red charms admire; while lone and darkling i","heaven , and all its choir of angel hosts those **kind** ##red charms admire ; while lone and dark ##ling i",kind,To Laura In Death. Sonnet LXXVII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-lxxvii-28743
-0.06701914,-0.028654173,"with weapons suited to the direful need; no **kind** protection of rough rising ground, where from defeat i","with weapons suited to the dire ##ful need ; no **kind** protection of rough rising ground , where from defeat i",kind,Sonnet II,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-ii-28395
-0.06453008,0.13797599,", which to view alone ne 'er fails to **kind**le love; and if aught else your love",", which to view alone ne ' er fails to **kind** ##le love ; and if aug ##ht else your love",kind,The Divine Comedy by Dante: The Vision Of Paradise: Canto V,Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-paradise-canto-v-14156
-0.06911853,0.0914522,"sweet flame. though spent, which still the same **kind**les me now as when it burn'd most","sweet flame . though spent , which still the same **kind** ##les me now as when it burn ' d most",kind,To Laura In Death. Canzone II,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-canzone-ii-28663
-0.070216715,-0.023654161,"health were ever of their high and heavenly charms so **kind** to me when first my thrall begun,","health were ever of their high and heavenly charms so **kind** to me when first my th ##ral ##l begun ,",kind,Canzone XX,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/canzone-xx-28600
