x,y,title,tokens,word,poem_title,author,period,link
-0.08800614,-0.060134664,"arise of her i love, who oft with **cruel** sport will mock the pangs i bear, the","arise of her i love , who of ##t with **cruel** sport will mock the pang ##s i bear , the",cruel,Canzone XVII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/canzone-xvii-28522
-0.08704044,-0.0711552,"honour, use, and joy, this my most **cruel** flatterer to obey. what wit so rare","honour , use , and joy , this my most **cruel** flat ##ter ##er to obey . what wit so rare",cruel,To Laura In Death. Canzone VII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-canzone-vii-28749
-0.08684863,-0.06265968,"my counsellor he stood alone, still prompt with **cruel** aid so to provoke my young desire, that i","my counsel ##lor he stood alone , still prompt with **cruel** aid so to provoke my young desire , that i",cruel,To Laura In Death. Canzone VII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-canzone-vii-28749
-0.07851345,0.07332428,"no hope may entertain: and their blind life so **mean**ly passes, that all other lots they envy.","no hope may entertain : and their blind life so **mean** ##ly passes , that all other lots they envy .",mean,"The Divine Comedy by Dante: The Vision of Hell, Or The Inferno: Canto III",Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-hell-or-the-inferno-canto-iii-14120
-0.08729146,-0.054868586,"lustrous eyes, which tearfully beheld the **cruel** prints in the fair limbs of thy beloved son,","lust ##rous eyes , which tear ##fully be ##held the **cruel** prints in the fair limbs of thy beloved son ,",cruel,To Laura In Death. Canzone VIII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-canzone-viii-28759
-0.08382908,-0.06543608,"night is gone, awakes the memory of my **cruel** lot--but i my wretched self must","night is gone , awake ##s the memory of my **cruel** lot - - but i my wr ##etched self must",cruel,To Laura In Death. Sonnet XLIII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-xliii-28704
-0.08338194,0.08526556,"d, for very rapture, grew. on **mean**er beauty never more to dwell, whom most i","d , for very rap ##ture , grew . on **mean** ##er beauty never more to dwell , whom most i",mean,Sonnet XCIII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-xciii-28509
-0.07917433,0.10109299,"lesser objects may conceal our light from you, that **mean**er far in virtue and perfection are. wherefor","lesser objects may conceal our light from you , that **mean** ##er far in virtue and perfection are . where ##for",mean,Ballata II,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/ballata-ii-28407
-0.0831808,-0.07148883,"whereon that tempest fell. cerberus, **cruel** monster, fierce and strange, through his wide three","where ##on that tempest fell . ce ##rber ##us , **cruel** monster , fierce and strange , through his wide three",cruel,"The Divine Comedy by Dante: The Vision of Hell, Or The Inferno: Canto VI",Dante Alighieri,12th-15th Centuries (Middle English),http://public-domain-poetry.com/dante-alighieri/divine-comedy-by-dante-the-vision-of-hell-or-the-inferno-canto-vi-14123
-0.08467018,-0.071530946,"le me within, it burns not all: her **cruel** and severe form may disturb, not break my sl","##le me within , it burns not all : her **cruel** and severe form may disturb , not break my sl",cruel,Sonnet LXII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-lxii-28476
-0.08081344,-0.03667241,"braid both love and her, whom i so **cruel** thought; but rude was then my genius, and","##bra ##id both love and her , whom i so **cruel** thought ; but rude was then my genius , and",cruel,To Laura In Death. Sonnet XXXVI,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/to-laura-in-death-sonnet-xxxvi-28697
-0.07704264,0.087935485,"'ve seen together rise; this dims each **mean**er lustre of the skies, and that sweet","' ve seen together rise ; this dim ##s each **mean** ##er lust ##re of the skies , and that sweet",mean,Sonnet CLXXXIII,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-clxxxiii-28612
-0.06045289,0.13692103,"hines the sun, not merely gold; i **mean** of those bright locks the curl'd snare","##hine ##s the sun , not merely gold ; i **mean** of those bright locks the curl ' d s ##nare",mean,Sonnet CLXIV,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-clxiv-28590
-0.08872052,-0.039486937,", whom they, fierce, and blind, and **cruel** name, who meet untimely deaths; '",", whom they , fierce , and blind , and **cruel** name , who meet un ##time ##ly deaths ; '",cruel,The Triumph Of Death. ,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/triumph-of-death-28764
-0.08615756,-0.049560286,"trod her fairy foot the carpet green: the **cruel** spot where first love spoil'd my rest,","tr ##od her fairy foot the carpet green : the **cruel** spot where first love spoil ' d my rest ,",cruel,Sonnet LXXIX,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-lxxix-28493
-0.0862158,-0.060965337,face if right the skies i guess well may my **cruel** fortune now be less. macgregor. amor,face if right the skies i guess well may my **cruel** fortune now be less . mac ##gre ##gor . amor,cruel,Sonnet CXX,Francesco Petrarca (Petrarch),12th-15th Centuries (Middle English),http://public-domain-poetry.com/francesco-petrarca/sonnet-cxx-28546
