x,y,title,tokens,word,poem_title,author,period,link
-0.03136648,-0.014540806,"here our christian militant. morella, charming without **art**, and kind without design, can never lose the","here our christian militant . more ##lla , charming without art , and kind without design , can never lose the",art,Songs Set To Music: 11. Set By Mr. De Fesch,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/songs-set-to-music-11-set-by-mr-de-fesch-2975
-0.03276053,-0.01819312,"-do more bewitch me, than when **art** is too precise in every part. to conquered men","- do more be ##wi ##tch me , than when art is too precise in every part . to conquered men",art,Delight In Disorder,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/delight-in-disorder-18599
-0.0327068,-0.044539444,"which once may win thy cruell hart: thou **art** my wit, and thou my vertue **art**","which once may win thy cruel ##l hart : thou art my wit , and thou my ve ##rt ##ue art",art,Astrophel and Stella - Sonnet LXIV,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/astrophel-and-stella-sonnet-lxiv-31895
-0.034116976,-0.029603682,"**art** my wit, and thou my vertue **art**. woe, woe to them, who","art my wit , and thou my ve ##rt ##ue art . wo ##e , wo ##e to them , who",art,To The King And Queen Upon Their Unhappy Distances,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/to-the-king-and-queen-upon-their-unhappy-distances-18651
-0.029339984,-0.017796094,"! tibi res antiqu 'laudis et **artis** aggredior, sanctos aus","! ti ##bi res anti ##qu ' lau ##dis et art ##is ag ##gre ##dio ##r , san ##ct ##os aus",art,A Letter From Italy,Joseph Addison,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/joseph-addison/letter-from-italy-385
-0.031427894,-0.022941358,"the lawn the stone. goddess, i begin an **art**; come thou in, with thy best part for","the lawn the stone . goddess , i begin an art ; come thou in , with thy best part for",art,A Vow To Minerva,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/vow-to-minerva-18919
-0.033324964,-0.0440606,"that rich she is. know celia, since thou **art** so proud, 'twas i that gave thee","that rich she is . know celia , since thou art so proud , ' t ##was i that gave thee",art,Ingrateful Beauty Threatened,Thomas Carew,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/thomas-carew/ingrateful-beauty-threatened-12086
-0.033878524,-0.040075414,", thy graces, all are mine; thou **art** my star, shin'st in my skies;",", thy grace ##s , all are mine ; thou art my star , shin ' st in my skies ;",art,Ingrateful Beauty Threatened,Thomas Carew,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/thomas-carew/ingrateful-beauty-threatened-12086
-0.035101492,0.016925383,"loving it, but thee. sin no existence; **nature** none it hath, or good at all,","loving it , but thee . sin no existence ; nature none it hat ##h , or good at all ,",nature,Sin,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/sin-19601
-0.033393893,0.03104377,"and cats in gutters gave their serenade. **nature** was out of countenance, and each day","and cats in gut ##ters gave their serena ##de . nature was out of count ##ena ##nce , and each day",nature,"Epilogue, Spoken By The Same",John Dryden,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/john-dryden/epilogue-spoken-by-the-same-14705
-0.03175932,-0.019551506,and shortly scenes in lapland will be laid: **art** magic is for poetry profess'd; and,and shortly scenes in lap ##land will be laid : art magic is for poetry prof ##ess ' d ; and,art,"Epilogue, Spoken By The Same",John Dryden,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/john-dryden/epilogue-spoken-by-the-same-14705
