x,y,title,tokens,word,poem_title,author,period,link
-0.06804955,0.0005180091,"s a demi-god. a gyges **ring** they bear about them still, to be, and","s a demi - god . a g ##y ##ges ring they bear about them still , to be , and",ring,Lovers How They Come And Part,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/lovers-how-they-come-and-part-2213
-0.07109514,-0.09941102,"some bird to fly into a neighb '**ring** field, in embassy unto the king of bees,","some bird to fly into a ne ##igh ##b ' ring field , in embassy unto the king of bees ,",ring,A Concert of Birds,William Browne,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-browne/concert-of-birds-36465
-0.072486885,-0.06004492,"love. as julia once a-slumb '**ring** lay, it chanced a bee did fly that","love . as julia once a - sl ##umb ' ring lay , it chance ##d a bee did fly that",ring,"The Captiv'd Bee; Or, The Little Filcher",Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/captivd-bee-or-the-little-filcher-2286
-0.06756337,-0.105334334,"servile court remaining. there he wand '**ring** malecontent, up and down perplex","ser ##vil ##e court remaining . there he wand ' ring male ##con ##ten ##t , up and down per ##plex",ring,Dispraise Of A Courtly Life,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/dispraise-of-a-courtly-life-31808
-0.06965587,-0.056675635,"seek for names; but call forth thund ` **ring** aeschylus, euripides, and so","seek for names ; but call forth th ##und ` ring ae ##sch ##ylus , eu ##rip ##ides , and so",ring,"To The Memory Of My Beloved, The Author, Mr. William Shakespeare, And What He Hath Left Us",Ben Jonson,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/ben-jonson/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare-and-what-he-hath-left-us-2530
-0.07225763,-0.039514404,"smoothly the waters kist, whisp '**ring** new joys to the mild ocean, who now","smoothly the waters ki ##st , w ##his ##p ' ring new joy ##s to the mild ocean , who now",ring,The Hymn,John Milton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/john-milton/hymn-8433
-0.06855043,0.08177933,"either. give the tapers here their light, **ring** the saints '-bell, to affright","either . give the tape ##rs here their light , ring the saints ' - bell , to af ##fr ##ight",ring,The Spell,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/spell-19071
-0.072005935,0.025276074,"l, or else the sentinell ( that should **ring** larum to the heart ) doth sleepe","##l , or else the sentinel ##l ( that should ring la ##rum to the heart ) dot ##h sleep ##e",ring,Epode,Ben Jonson,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/ben-jonson/epode-2521
-0.07199558,-0.074551895,"doth the plowman gaze the wand '**ring** star, and only rest contented with the light","dot ##h the pl ##ow ##man gaze the wand ' ring star , and only rest content ##ed with the light",ring,Sonnets: Idea XLIII,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/sonnets-idea-xliii-14416
-0.06847189,0.09105142,"god, that all may hear loud acclamations **ring**. prepare a hymn, prepare a song the tim","god , that all may hear loud acc ##lam ##ations ring . prepare a hymn , prepare a song the tim",ring,Psal. LXXXI,John Milton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/john-milton/psal-lxxxi-8373
